run,fitness,r,m_c,tc,phi_c,A,delta_t,SNR_optimal,SNR_pycbc,correlation,mismatch,two_step_match_result,two_step_is_lensed,classification,classification_correct,actual_is_lensed,parameter_r_error,parameter_m_c_error,parameter_tc_error,parameter_A_error,parameter_delta_t_error
1,-1381.293909019413,0.030590930860008962,30.08256455548169,7.500118708432081,0.28562078308519157,0.11990048923961456,3.093999152723622,1381.293909019413,25.114802450923598,0.8589580635788827,0.14186417230538617,This is a lens signal (A = 0.119900 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-99.9990131957787,-0.02471068301198929,0.0015827790944082192,-64.026255853701,213.98408288244593
2,-1508.8069193250053,12.22765763924218,30.09205445702218,7.500007632831218,0.26116599033921223,0.27254073681401675,0.8245971642426039,1508.8069193250053,25.66865545748069,0.8538567177626307,0.16504645793043282,This is a lens signal (A = 0.272541 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-99.60555943099219,0.006827706953084039,0.00010177108290321256,-18.22960191598657,-16.318534174690093
3,-1508.9387665363943,53.97663894061986,30.098592762550073,7.499998956901625,0.7492700827996162,0.3623324718229755,0.930982004664723,1508.9387665363943,24.85264230343787,0.8561880137898386,0.18515075258482683,This is a lens signal (A = 0.362332 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-98.25881809868969,0.028556871219928788,-1.3907978330488882e-05,8.710612608153474,-5.522426967249546
4,-1506.7855898116488,0.019270423021856505,30.113717274460225,7.499802910646304,0.7239848234572409,0.2769384066452588,0.8245805320747219,1506.7855898116488,25.72958726547279,0.8528493777265974,0.16760760269481334,This is a lens signal (A = 0.276938 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-99.99937837345091,0.07882111817955571,-0.0026278580492800074,-16.910169023324684,-16.320222034227534
5,-1450.280094958729,181.277212569961,30.055226005117525,7.500076689721841,0.31000448847017453,0.2546485238391215,0.8267791248714408,1450.280094958729,25.187854597047004,0.8413908575797778,0.1633616066042467,This is a lens signal (A = 0.254649 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-94.15234798161416,-0.11556661642562652,0.001022529624551775,-23.597802628526395,-16.097105249498604
6,-1221.3812278105218,7224.943366489101,30.08450891587687,7.500261981062837,0.29227876920655815,0.5618819811837144,0.2138312905961141,1221.3812278105218,17.11899106811113,0.7542626236249275,0.24543243220272937,This is a lens signal (A = 0.561882 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,133.06268924158394,-0.018248867142324657,0.0034930808378301017,68.58145250036435,-78.3000516951376
7,-1503.6010114506678,5.545181973368365,30.092836876762863,7.500006467050157,0.26204284104054487,0.2877559588990296,1.0359142850580993,1503.6010114506678,25.091594220494894,0.8721474901949912,0.16893036932226735,This is a lens signal (A = 0.287756 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-99.8211231621494,0.009427971960342426,8.622733542296146e-05,-13.664578788169932,5.126272078150933
8,-1304.5873259909467,3801.99500441895,30.189376573781733,7.49829101559893,0.564745168529382,0.28015101745592624,1.3589187598885553,1304.5873259909467,22.918864410914036,0.7553452472784881,0.17570968530868647,This is a lens signal (A = 0.280151 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,22.64500014254679,0.33026445258137677,-0.022786458680930842,-15.94628939216134,37.90529327060637
best,-1508.9387665363943,53.97663894061986,30.098592762550073,7.499998956901625,0.7492700827996162,0.3623324718229755,0.930982004664723,,24.85264230343787,0.8561880137898386,0.18515075258482683,This is a lens signal (A = 0.362332 >= 0.01) - CORRECT CLASSIFICATION,True,lens_signal,True,True,-98.25881809868969,0.028556871219928788,-1.3907978330488882e-05,8.710612608153474,-5.522426967249546
