Parameter,True_Value,PSO_Estimate,PSO_Error_Percent,MCMC_Estimate,MCMC_Error_Percent,Best_Method
Distance (Mpc),3100.00,0.02,99.9995,0.26,99.9917,MCMC
Chirp Mass (M☉),30.0900,30.0946,0.0154,30.1152,0.0836,PSO
Merger Time (s),7.5000,7.5000,0.0000,7.5000,0.0004,PSO
Phase (π),0.250000,0.250001,0.0001,0.737695,24.3847,PSO
Flux Ratio,0.333300,0.009134,97.2596,0.015793,95.2616,MCMC
Time Delay (s),0.985400,3.586286,263.9422,2.892001,193.4850,MCMC
Execution Time (s),N/A,407.39,N/A,285.26,N/A,MCMC
SNR,N/A,3382697.4145,N/A,201414.4299,N/A,PSO
Match Score,N/A,1.000000,N/A,0.999686,N/A,PSO
Average Parameter Error (%),N/A,76.8695,N/A,68.8678,N/A,MCMC
